"id","name","provider","level","amount","deadline","project_types","requirements","description","contact_info","application_url","created_at","updated_at","status","technology"
"193","NASA Climate Change and Global Warming","NASA","federal","$2 billion earth science","ongoing","[""Earth Science"",""Climate Research""]","[""Climate research"",""Earth observation""]","Earth science research including climate monitoring and clean energy applications",,"https://climate.nasa.gov/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","Climate Science"
"194","New York Green Bank Commercial Finance","NY Green Bank","state","$1 billion financing capacity","ongoing","[""Commercial Finance"",""Clean Energy""]","[""New York business"",""Clean energy project""]","Commercial clean energy financing for New York businesses",,"https://greenbank.ny.gov/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","Green Banking"
"195","Rhode Island Infrastructure Bank","RI Infrastructure Bank","state","$500 million financing","ongoing","[""Infrastructure Finance"",""Clean Energy""]","[""Rhode Island project"",""Infrastructure improvement""]","Infrastructure financing including clean energy and efficiency projects",,"https://www.riib.org/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","Infrastructure Banking"
"196","Massachusetts Clean Energy Center","MassCEC","state","$1.5 billion clean energy investment","ongoing","[""Clean Energy Development"",""Innovation""]","[""Massachusetts location"",""Clean energy innovation""]","Comprehensive clean energy development and financing programs",,"https://www.masscec.com/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","State Clean Energy"
"197","Vermont Public Utility Commission","Vermont PUC","state","$200 million renewable programs","ongoing","[""Renewable Energy"",""Utility Regulation""]","[""Vermont utility"",""Renewable energy""]","Renewable energy and efficiency programs for Vermont utilities",,"https://puc.vermont.gov/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","State Utility Programs"
"198","Delaware Sustainable Energy Utility","Delaware SEU","state","$100 million efficiency programs","ongoing","[""Energy Efficiency"",""State Programs""]","[""Delaware location"",""Energy efficiency""]","Statewide energy efficiency and renewable energy programs",,"https://www.energizedelaware.org/","""2025-06-26T21:45:08.883Z""","""2025-06-26T21:45:08.883Z""","active","State Energy Utility"
"199","NYC Carbon Challenge","NYC Mayor's Office","local","$1 billion commitment tracking","ongoing","[""Carbon Reduction"",""Large Buildings""]","[""NYC building"",""Large building owner""]","Voluntary program for large buildings to reduce carbon emissions by 30% by 2030",,"https://www.nyc.gov/site/sustainability/codes/retrofit/carbon-challenge.page","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Carbon Management"
"200","NYC Retrofit Accelerator","NYC Accelerator","local","$100 million facilitated financing","ongoing","[""Building Retrofit"",""Technical Assistance""]","[""NYC building"",""Energy retrofit""]","Free technical assistance and financing facilitation for building energy retrofits",,"https://accelerator.nyc/","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Building Efficiency"
"201","Westchester County Energy Efficiency Program","Westchester County","local","$50 million program","ongoing","[""Energy Efficiency"",""Commercial Buildings""]","[""Westchester County"",""Commercial property""]","County-wide energy efficiency incentives and financing for commercial buildings",,"https://www.westchestergov.com/environment/energy","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","County Energy"
"202","Suffolk County Green Infrastructure","Suffolk County","local","$25 million infrastructure fund","ongoing","[""Green Infrastructure"",""Renewable Energy""]","[""Suffolk County"",""Green infrastructure""]","Green infrastructure grants including renewable energy and efficiency projects",,"https://www.suffolkcountyny.gov/environment","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Green Infrastructure"
"203","Nassau County Sustainability Initiative","Nassau County","local","$30 million sustainability program","ongoing","[""Sustainability"",""Clean Energy""]","[""Nassau County"",""Sustainability project""]","County sustainability grants and incentives for clean energy projects",,"https://www.nassaucountyny.gov/sustainability","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","County Sustainability"
"204","RGGI Auction Proceeds Investment","RGGI States","state","$15 billion multi-state fund","ongoing","[""Regional Climate"",""Multi-State""]","[""RGGI state"",""Climate investment""]","Regional Greenhouse Gas Initiative proceeds invested in clean energy across participating states",,"https://www.rggi.org/investments","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Regional Climate"
"205","Northeast States Collaborative Clean Energy","Northeast States","state","$5 billion regional coordination","ongoing","[""Multi-State"",""Clean Energy Policy""]","[""Northeast state"",""Clean energy program""]","Multi-state coordination of clean energy programs and policies",,"https://www.cleanenergystates.org/","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Regional Coordination"
"206","New York Green Jobs-Green New York Financing","NYSERDA","state","$200 million financing pool","ongoing","[""On-Bill Financing"",""Energy Efficiency""]","[""New York property"",""Energy improvements""]","On-bill financing for comprehensive energy efficiency improvements statewide",,"https://www.nyserda.ny.gov/gjgny","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Energy Finance"
"207","NY Prize Community Microgrid Competition","NYSERDA","state","$40 million microgrid funding","ongoing","[""Microgrids"",""Community Energy""]","[""New York community"",""Microgrid project""]","Funding for community microgrid feasibility studies and implementation",,"https://www.nyserda.ny.gov/All-Programs/NY-Prize","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Microgrids"
"208","NY Truck Voucher Incentive Program","NYSERDA","state","$65 million electric truck program","ongoing","[""Electric Vehicles"",""Commercial Transportation""]","[""New York business"",""Commercial vehicle""]","Vouchers for medium and heavy-duty electric vehicle purchases in New York",,"https://www.nyserda.ny.gov/All-Programs/Truck-Voucher-Program","""2025-06-26T21:54:01.386Z""","""2025-06-26T21:54:01.386Z""","active","Electric Commercial Vehicles"
"209","NYC Benchmarking and Disclosure Law","NYC Buildings","local","$500 million compliance market","ongoing","[""Building Compliance"",""Energy Benchmarking""]","[""NYC large building"",""25000+ sq ft""]","Required energy benchmarking for large buildings driving efficiency investments",,"https://www.nyc.gov/site/buildings/property-or-business-owner/benchmarking.page","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Building Performance"
"210","Rochester Energy Efficiency Program","City of Rochester","local","$20 million city program","ongoing","[""Municipal Programs"",""Energy Efficiency""]","[""Rochester business"",""Energy efficiency""]","Municipal energy efficiency incentives and financing for Rochester businesses",,"https://www.cityofrochester.gov/sustainability/","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","City Energy"
"211","Syracuse Green Infrastructure Program","City of Syracuse","local","$15 million infrastructure fund","ongoing","[""Green Infrastructure"",""Municipal""]","[""Syracuse area"",""Green infrastructure""]","Green infrastructure grants and incentives for Syracuse area projects",,"https://www.syracuse.ny.us/sustainability/","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","City Infrastructure"
"212","Buffalo Solar Program","City of Buffalo","local","$10 million solar initiative","ongoing","[""Solar Energy"",""Municipal Programs""]","[""Buffalo resident"",""Solar installation""]","City-sponsored solar incentives and group purchasing programs",,"https://www.buffalony.gov/sustainability","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Municipal Solar"
"213","Yonkers Sustainability Initiative","City of Yonkers","local","$8 million sustainability fund","ongoing","[""Sustainability"",""Municipal Programs""]","[""Yonkers location"",""Sustainability project""]","Municipal sustainability grants and clean energy incentives",,"https://www.yonkersny.gov/government/departments/planning/sustainability","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","City Sustainability"
"214","NY State Clean Energy Fund","NYSERDA","state","$5 billion clean energy investment","ongoing","[""Clean Energy Market"",""Technology Deployment""]","[""New York market"",""Clean energy technology""]","Comprehensive clean energy market development and technology deployment fund",,"https://www.nyserda.ny.gov/About/Clean-Energy-Fund","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Clean Energy Fund"
"215","NY Climate Leadership and Community Protection Act","New York State","state","$33 billion climate investment","ongoing","[""Climate Law"",""Clean Energy Investment""]","[""New York state"",""Climate compliance""]","Statewide climate law driving massive clean energy investments and programs",,"https://climate.ny.gov/","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Climate Investment"
"216","Empire State Development Strategic Investment Program","NY ESD","state","$750 million economic development","ongoing","[""Economic Development"",""Strategic Investment""]","[""New York business"",""Strategic industry""]","Strategic investments in key industries including clean energy and advanced manufacturing",,"https://esd.ny.gov/doing-business/incentives-tax-credits","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Economic Development"
"217","Long Island Power Authority Customer Programs","LIPA","utility","$200 million customer programs","ongoing","[""Customer Programs"",""Utility Incentives""]","[""Long Island customer"",""LIPA service territory""]","Comprehensive customer energy efficiency and renewable energy programs",,"https://www.lipower.org/efficiency-programs/","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Utility Customer Programs"
"218","NY Independent System Operator Market Programs","NYISO","utility","$2 billion market facilitation","ongoing","[""Market Programs"",""Grid Services""]","[""Market participant"",""Grid services""]","Wholesale electricity market programs including demand response and capacity markets",,"https://www.nyiso.com/markets-operations","""2025-06-26T21:54:23.373Z""","""2025-06-26T21:54:23.373Z""","active","Electricity Markets"
"219","Transportation and Climate Initiative","TCI States","state","$300 million regional program","ongoing","[""Transportation"",""Multi-State Climate""]","[""TCI state"",""Transportation project""]","Multi-state transportation and climate initiative for clean transportation investments",,"https://www.transportationandclimate.org/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Regional Transportation"
"220","Northeast Energy Efficiency Partnerships","NEEP","private","$100 million coordination","ongoing","[""Regional Efficiency"",""Partnership""]","[""Northeast state"",""Energy efficiency""]","Regional coordination of energy efficiency programs across Northeast states",,"https://neep.org/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Regional Efficiency"
"221","ISO New England Forward Capacity Market","ISO-NE","utility","$5 billion capacity market","ongoing","[""Capacity Market"",""Grid Services""]","[""New England participant"",""Grid resources""]","Regional electricity capacity market including demand response and energy storage",,"https://www.iso-ne.com/markets-operations/markets/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Regional Grid"
"222","Connecticut Green Bank Residential Solar","CT Green Bank","state","$500 million solar financing","ongoing","[""Solar Financing"",""Residential Solar""]","[""Connecticut property"",""Solar installation""]","Comprehensive residential and commercial solar financing programs",,"https://www.ctgreenbank.com/solar/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Solar Finance"
"223","New Jersey Clean Energy Program Solar","NJ BPU","state","$1 billion solar incentives","ongoing","[""Solar Incentives"",""Net Metering""]","[""New Jersey property"",""Solar system""]","Comprehensive solar incentive programs including net metering and rebates",,"https://www.njcleanenergy.com/renewable-energy/programs/solar-programs","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Solar Programs"
"224","Vermont Comprehensive Energy Plan","Vermont State","state","$200 million energy transformation","ongoing","[""Energy Planning"",""Renewable Transition""]","[""Vermont location"",""Energy transition""]","Statewide comprehensive energy planning with renewable energy goals",,"https://puc.vermont.gov/energy-plan","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","State Energy Planning"
"225","Massachusetts Green Communities Program","Massachusetts DOER","state","$150 million municipal grants","ongoing","[""Municipal Grants"",""Green Communities""]","[""Massachusetts municipality"",""Clean energy project""]","Grant program for municipalities to implement clean energy projects",,"https://www.mass.gov/green-communities","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","Municipal Energy"
"226","Rhode Island Renewable Energy Fund","Rhode Island OER","state","$100 million renewable fund","ongoing","[""Renewable Energy Fund"",""State Investment""]","[""Rhode Island project"",""Renewable energy""]","State renewable energy development fund supporting various clean energy projects",,"https://www.energy.ri.gov/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","State Renewable Fund"
"227","New Hampshire Public Utilities Commission","New Hampshire PUC","state","$80 million efficiency programs","ongoing","[""Utility Programs"",""State Regulation""]","[""New Hampshire utility"",""Energy programs""]","State utility commission energy efficiency and renewable energy programs",,"https://www.puc.nh.gov/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","State Utility Programs"
"228","Maine Efficiency Maine Trust","Efficiency Maine","state","$120 million efficiency trust","ongoing","[""Efficiency Trust"",""State Programs""]","[""Maine resident"",""Energy efficiency""]","Statewide energy efficiency trust providing rebates and financing",,"https://www.efficiencymaine.com/","""2025-06-26T21:54:45.326Z""","""2025-06-26T21:54:45.326Z""","active","State Efficiency Trust"
"229","Northeast Clean Energy Council","NECEC","private","$50 million industry coordination","ongoing","[""Industry Association"",""Regional Development""]","[""Northeast business"",""Clean energy industry""]","Regional clean energy industry association coordinating development across Northeast",,"https://www.necec.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Industry Coordination"
"230","New York Battery and Energy Storage Technology Consortium","NY-BEST","private","$25 million technology development","ongoing","[""Energy Storage Technology"",""Technology Development""]","[""New York organization"",""Storage technology""]","New York consortium advancing battery and energy storage technologies",,"https://ny-best.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Storage Technology"
"231","Advanced Energy Research and Technology Center","AERTC","private","$40 million research center","ongoing","[""Research Center"",""Technology Commercialization""]","[""Research capability"",""Technology commercialization""]","SUNY Stony Brook advanced energy research and commercialization center",,"https://www.aertc.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Energy Research"
"232","New York State Energy Planning Board","NYS Energy Planning","state","$100 million planning coordination","ongoing","[""Energy Planning"",""Policy Development""]","[""New York planning"",""Energy policy""]","Statewide energy planning coordination and policy development",,"https://www.nyserda.ny.gov/About/Planning","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Energy Policy"
"233","Multi-State ZEV Action Plan","Multi-State ZEV","state","$2 billion ZEV coordination","ongoing","[""Zero Emission Vehicles"",""Multi-State Coordination""]","[""ZEV state"",""Electric vehicle deployment""]","Multi-state zero emission vehicle deployment coordination and planning",,"https://www.zevstates.us/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","ZEV Coordination"
"234","Northeast States for Coordinated Air Use Management","NESCAUM","state","$150 million air quality programs","ongoing","[""Air Quality"",""Clean Transportation""]","[""Northeast state"",""Air quality improvement""]","Multi-state air quality management including clean transportation programs",,"https://www.nescaum.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Air Quality Management"
"235","Great Lakes and St. Lawrence Cities Initiative","GLSLCI","local","$200 million binational coordination","ongoing","[""Binational Climate"",""Mayor Network""]","[""Great Lakes city"",""Climate action""]","Binational network of mayors advancing climate and clean energy solutions",,"https://glslcities.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Binational Climate"
"236","New York Power Authority Strategic Vision 2030","NYPA","state","$10 billion transformation plan","ongoing","[""Utility Transformation"",""Digital Grid""]","[""New York utility"",""Grid modernization""]","Comprehensive transformation to digital utility with clean energy focus",,"https://www.nypa.gov/about/strategic-vision-2030","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Utility Modernization"
"237","NY Build Back Better Regional Challenge","NY State","state","$500 million federal coordination","ongoing","[""Federal Coordination"",""Regional Development""]","[""Regional development"",""Federal funding""]","Coordination of federal Build Back Better funding for regional economic development",,"https://esd.ny.gov/build-back-better/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Federal Program Coordination"
"238","Climate Finance Facility New York","Climate Finance NY","private","$1 billion climate finance","ongoing","[""Climate Finance"",""Investment Facility""]","[""Climate investment"",""Finance facility""]","Climate finance facility supporting clean energy and resilience investments",,"https://www.climatecentral.org/","""2025-06-26T21:55:30.205Z""","""2025-06-26T21:55:30.205Z""","active","Climate Finance"
